canonicalWorkId,generatedStableWorkId,canonicalWorkKey,canonicalAuthorId,title,normalizedTitle,authorDisplayName,publisherOriginState,authorityChangeFinding,currentCatalogState,lifecycleDetail,marketingAuthorityState,retirementState,rightsHoldState,releaseDate,sourceProductRows,existingTitleMatched,existingTitleMatchScore,existingIdentifierOverlap
34926ac0-c37a-f111-ab0f-00224820105b,a59ff543-8c0d-5f2a-ac61-3ef54e1a05be,j derrick johnson|100 wisdom lessons for life and living,7ceb3332-882a-f111-88b4-00224820105b,100 Wisdom Lessons for Life and Living,100 wisdom lessons for life and living,J Derrick Johnson,PUBLISHER_ORIGIN_CONFIRMED,NO_AUTHORITY_CHANGE_FOUND,ACTIVE,PUBLISHED_CATALOG,MARKETING_ELIGIBLE,NOT_RETIRED,NO_RIGHTS_HOLD_FOUND,2026-04-14,4,true,302,3
d0f603d3-c27a-f111-ab0f-000d3a14673b,35f1a87e-0100-5da4-a86c-af0d8ce98469,donjia walls|27 days to overcoming depression,c0ae096e-fa9d-f111-b8dc-000d3a14673b,27 Days to Overcoming Depression,27 days to overcoming depression,Donjia Walls,PUBLISHER_ORIGIN_CONFIRMED,NO_AUTHORITY_CHANGE_FOUND,ACTIVE,PUBLISHED_CATALOG,MARKETING_ELIGIBLE,NOT_RETIRED,NO_RIGHTS_HOLD_FOUND,2025-02-01,2,true,356,3
69b21fc6-c27a-f111-ab0f-000d3a14673b,d9a555c0-bff0-5f6a-afdc-fca81a5253cb,daphanny baker|365 days of transparency,b7ed8a5b-fa9d-f111-b8dc-7c1e525b15c2,365 Days of Transparency,365 days of transparency,Daphanny Baker,PUBLISHER_ORIGIN_CONFIRMED,NO_AUTHORITY_CHANGE_FOUND,ACTIVE,PUBLISHED_CATALOG,MARKETING_ELIGIBLE,NOT_RETIRED,NO_RIGHTS_HOLD_FOUND,2021-03-08,2,true,256,2
3e09d7cb-c27a-f111-ab0f-6045bdd69678,9c0cdd93-909a-5f34-a271-36a32880b359,ericka johnson settles|7 step jumpstart to becoming your best self,48ed579b-0260-5874-aa62-9e632f37c0aa,7 Step Jumpstart to Becoming Your Best Self,7 step jumpstart to becoming your best self,Ericka Johnson Settles,PUBLISHER_ORIGIN_CONFIRMED,NO_AUTHORITY_CHANGE_FOUND,ACTIVE,PUBLISHED_CATALOG,MARKETING_ELIGIBLE,NOT_RETIRED,NO_RIGHTS_HOLD_FOUND,2023-04-01,3,true,346,3
6f8904ca-c27a-f111-ab0f-6045bdd69738,6b585406-4531-57aa-a25c-44a4bfd7cf3f,shecara norris|a blended family,abed8a5b-fa9d-f111-b8dc-7c1e525b15c2,A Blended Family,a blended family,Shecara Norris,PUBLISHER_ORIGIN_CONFIRMED,NO_AUTHORITY_CHANGE_FOUND,ACTIVE,PUBLISHED_CATALOG,MARKETING_ELIGIBLE,NOT_RETIRED,NO_RIGHTS_HOLD_FOUND,2022-01-01,3,true,356,3
778904ca-c27a-f111-ab0f-6045bdd69738,0cd7172e-ee42-5ee9-aab6-47bd4a2d4bfa,eryonna barrino|a little bit of everything,4177ba6b-fa9d-f111-b8db-7c1e5248501c,A Little Bit of Everything,a little bit of everything,Eryonna Barrino,PUBLISHER_ORIGIN_CONFIRMED,NO_AUTHORITY_CHANGE_FOUND,ACTIVE,PUBLISHED_CATALOG,MARKETING_ELIGIBLE,NOT_RETIRED,NO_RIGHTS_HOLD_FOUND,2022-02-12,2,true,202,2
c74b00d4-c27a-f111-ab0f-00224820105b,fa80232f-e884-57d6-a309-4ee751a9c257,iyorwuese hagher|a portrait of paradise,c8c8747e-6675-f111-ab0f-6045bdd69678,A Portrait of Paradise,a portrait of paradise,Iyorwuese Hagher,PUBLISHER_ORIGIN_CONFIRMED,NO_AUTHORITY_CHANGE_FOUND,ACTIVE,PUBLISHED_CATALOG,MARKETING_ELIGIBLE,NOT_RETIRED,NO_RIGHTS_HOLD_FOUND,2026-04-21,3,true,356,3
841a04cd-c27a-f111-ab0f-000d3a14673b,d16f1b85-536d-58db-a31a-366c41d0c68f,shelley mcintosh|a principal s tale,632d8d61-fa9d-f111-b8dc-7c1e525b15c2,A Principal's Tale,a principal s tale,Shelley McIntosh,PUBLISHER_ORIGIN_CONFIRMED,NO_AUTHORITY_CHANGE_FOUND,ACTIVE,PUBLISHED_CATALOG,MARKETING_ELIGIBLE,NOT_RETIRED,NO_RIGHTS_HOLD_FOUND,2021-02-14,2,true,256,2
37ce3ac0-c37a-f111-ab0f-7c1e525b15c2,2f85de02-f385-517b-aa58-e222cea63236,alesia corpening|a truebies guide part 1,5cb9d134-98e9-5a35-a41e-eaaa0126b64c,"A Truebies Guide, Part 1",a truebies guide part 1,Alesia Corpening,PUBLISHER_ORIGIN_CONFIRMED,NO_AUTHORITY_CHANGE_FOUND,ACTIVE,PUBLISHED_CATALOG,MARKETING_ELIGIBLE,NOT_RETIRED,NO_RIGHTS_HOLD_FOUND,,2,true,202,2
2c946ac0-c37a-f111-ab0f-00224820105b,1e7b8c95-16aa-5e43-af87-3e3bf1c731e0,alesia corpening|a truebies guide part 2,5cb9d134-98e9-5a35-a41e-eaaa0126b64c,"A Truebies Guide, Part 2",a truebies guide part 2,Alesia Corpening,PUBLISHER_ORIGIN_CONFIRMED,NO_AUTHORITY_CHANGE_FOUND,ACTIVE,PUBLISHED_CATALOG,MARKETING_ELIGIBLE,NOT_RETIRED,NO_RIGHTS_HOLD_FOUND,2020-10-01,2,true,202,2
